loan_amnt,term,int_rate,grade,sub_grade,emp_length,home_ownership,verification_status,annual_inc,loan_status,purpose,dti,pub_rec_bankruptcies,issue_year,issue_month
5000,36,10.65,B,B2,10+ years,RENT,Verified,24000.0,Fully Paid,credit_card,27.65,0.0,2011,12
2500,60,15.27,C,C4,< 1 year,RENT,Source Verified,30000.0,Charged Off,car,1.0,0.0,2011,12
2400,36,15.96,C,C5,10+ years,RENT,Not Verified,12252.0,Fully Paid,small_business,8.72,0.0,2011,12
10000,36,13.49,C,C1,10+ years,RENT,Source Verified,49200.0,Fully Paid,other,20.0,0.0,2011,12
5000,36,7.9,A,A4,3 years,RENT,Source Verified,36000.0,Fully Paid,wedding,11.2,0.0,2011,12
7000,60,15.96,C,C5,8 years,RENT,Not Verified,47004.0,Fully Paid,debt_consolidation,23.51,0.0,2011,12
3000,36,18.64,E,E1,9 years,RENT,Source Verified,48000.0,Fully Paid,car,5.35,0.0,2011,12
5600,60,21.28,F,F2,4 years,OWN,Source Verified,40000.0,Charged Off,small_business,5.55,0.0,2011,12
5375,60,12.69,B,B5,< 1 year,RENT,Verified,15000.0,Charged Off,other,18.08,0.0,2011,12
6500,60,14.65,C,C3,5 years,OWN,Not Verified,72000.0,Fully Paid,debt_consolidation,16.12,0.0,2011,12
12000,36,12.69,B,B5,10+ years,OWN,Source Verified,75000.0,Fully Paid,debt_consolidation,10.78,0.0,2011,12
9000,36,13.49,C,C1,< 1 year,RENT,Source Verified,30000.0,Charged Off,debt_consolidation,10.08,0.0,2011,12
3000,36,9.91,B,B1,3 years,RENT,Source Verified,15000.0,Fully Paid,credit_card,12.56,0.0,2011,12
10000,36,10.65,B,B2,3 years,RENT,Source Verified,100000.0,Charged Off,other,7.06,0.0,2011,12
1000,36,16.29,D,D1,< 1 year,RENT,Not Verified,28000.0,Fully Paid,debt_consolidation,20.31,0.0,2011,12
10000,36,15.27,C,C4,4 years,RENT,Not Verified,42000.0,Fully Paid,home_improvement,18.6,0.0,2011,12
3600,36,6.03,A,A1,10+ years,MORTGAGE,Not Verified,110000.0,Fully Paid,major_purchase,10.52,0.0,2011,12
6000,36,11.71,B,B3,1 year,MORTGAGE,Verified,84000.0,Fully Paid,medical,18.44,0.0,2011,12
9200,36,6.03,A,A1,6 years,RENT,Not Verified,77385.19,Fully Paid,debt_consolidation,9.86,0.0,2011,12
20250,60,15.27,C,C4,3 years,RENT,Verified,43370.0,Fully Paid,debt_consolidation,26.53,0.0,2011,12
21000,36,12.42,B,B4,10+ years,RENT,Verified,105000.0,Charged Off,debt_consolidation,13.22,0.0,2011,12
10000,36,11.71,B,B3,10+ years,OWN,Source Verified,50000.0,Fully Paid,credit_card,11.18,0.0,2011,12
10000,36,11.71,B,B3,5 years,RENT,Not Verified,50000.0,Fully Paid,debt_consolidation,16.01,0.0,2011,12
6000,36,11.71,B,B3,1 year,RENT,Not Verified,76000.0,Charged Off,major_purchase,2.4,0.0,2011,12
15000,36,9.91,B,B1,2 years,MORTGAGE,Verified,92000.0,Fully Paid,credit_card,29.44,0.0,2011,12
15000,36,14.27,C,C2,9 years,RENT,Not Verified,60000.0,Charged Off,debt_consolidation,15.22,0.0,2011,12
5000,60,16.77,D,D2,2 years,RENT,Not Verified,50004.0,Charged Off,other,13.97,0.0,2011,12
4000,36,11.71,B,B3,10+ years,MORTGAGE,Not Verified,106000.0,Fully Paid,debt_consolidation,5.63,0.0,2011,12
8500,36,11.71,B,B3,< 1 year,RENT,Source Verified,25000.0,Fully Paid,credit_card,12.19,0.0,2011,12
4375,36,7.51,A,A3,7 years,MORTGAGE,Source Verified,17108.0,Fully Paid,debt_consolidation,20.34,0.0,2011,12
31825,36,7.9,A,A4,5 years,MORTGAGE,Verified,75000.0,Fully Paid,debt_consolidation,14.03,0.0,2011,12
5000,36,8.9,A,A5,2 years,RENT,Verified,24044.0,Fully Paid,debt_consolidation,11.93,0.0,2011,12
7000,36,15.96,C,C5,7 years,RENT,Source Verified,34000.0,Fully Paid,credit_card,6.35,0.0,2011,12
12400,36,10.65,B,B2,10+ years,RENT,Not Verified,41000.0,Fully Paid,credit_card,11.8,0.0,2011,12
10800,36,9.91,B,B1,2 years,RENT,Source Verified,55596.0,Fully Paid,moving,5.5,0.0,2011,12
15000,36,7.9,A,A4,1 year,RENT,Verified,45000.0,Fully Paid,debt_consolidation,8.48,0.0,2011,12
6000,36,12.42,B,B4,1 year,RENT,Source Verified,36852.0,Fully Paid,debt_consolidation,10.62,0.0,2011,12
9600,36,7.51,A,A3,4 years,RENT,Source Verified,68004.0,Fully Paid,other,6.63,0.0,2011,12
12000,36,7.9,A,A4,10+ years,RENT,Not Verified,62300.0,Fully Paid,debt_consolidation,16.7,0.0,2011,12
3000,36,18.25,D,D5,9 years,MORTGAGE,Not Verified,65000.0,Fully Paid,other,17.39,0.0,2011,12
4400,36,16.77,D,D2,10+ years,RENT,Not Verified,55000.0,Fully Paid,debt_consolidation,20.01,0.0,2011,12
6000,36,6.03,A,A1,10+ years,MORTGAGE,Not Verified,45600.0,Fully Paid,debt_consolidation,5.34,0.0,2011,12
14000,36,9.91,B,B1,6 years,RENT,Not Verified,80000.0,Fully Paid,small_business,10.0,0.0,2011,12
5000,36,8.9,A,A5,10+ years,MORTGAGE,Source Verified,100000.0,Charged Off,debt_consolidation,16.33,0.0,2011,12
10000,36,10.65,B,B2,6 years,RENT,Verified,27000.0,Fully Paid,other,11.47,0.0,2011,12
10000,36,6.03,A,A1,10+ years,RENT,Not Verified,60000.0,Fully Paid,credit_card,12.74,0.0,2011,12
11000,36,6.62,A,A2,5 years,RENT,Not Verified,70000.0,Fully Paid,debt_consolidation,10.85,0.0,2011,12
15000,36,9.91,B,B1,8 years,MORTGAGE,Not Verified,80000.0,Charged Off,debt_consolidation,9.12,0.0,2011,12
25600,36,9.91,B,B1,9 years,RENT,Verified,110000.0,Fully Paid,credit_card,15.71,0.0,2011,12
7000,36,10.65,B,B2,< 1 year,RENT,Not Verified,40000.0,Fully Paid,debt_consolidation,7.38,0.0,2011,12
12000,36,15.96,C,C5,4 years,RENT,Not Verified,50000.0,Charged Off,car,20.88,0.0,2011,12
12000,36,9.91,B,B1,1 year,RENT,Not Verified,46000.0,Fully Paid,credit_card,8.11,0.0,2011,12
21000,60,19.91,E,E4,7 years,RENT,Verified,50000.0,Charged Off,debt_consolidation,21.58,0.0,2011,12
16000,60,19.91,E,E4,7 years,RENT,Verified,81000.0,Fully Paid,credit_card,20.52,0.0,2011,12
10000,36,12.42,B,B4,< 1 year,OWN,Not Verified,39000.0,Fully Paid,debt_consolidation,18.58,0.0,2011,12
10000,36,10.65,B,B2,2 years,RENT,Not Verified,51400.0,Fully Paid,credit_card,19.14,0.0,2011,12
7100,36,16.77,D,D2,1 year,MORTGAGE,Verified,33000.0,Fully Paid,debt_consolidation,24.0,0.0,2011,12
13000,60,12.69,B,B5,< 1 year,MORTGAGE,Source Verified,30000.0,Fully Paid,debt_consolidation,13.72,0.0,2011,12
17500,60,17.27,D,D3,6 years,RENT,Verified,40000.0,Fully Paid,small_business,19.47,0.0,2011,12
17675,60,14.65,C,C3,< 1 year,RENT,Source Verified,50000.0,Fully Paid,debt_consolidation,16.46,0.0,2011,12
8000,36,16.77,D,D2,< 1 year,RENT,Not Verified,62000.0,Fully Paid,debt_consolidation,21.64,0.0,2011,12
10000,60,10.65,B,B2,10+ years,RENT,Verified,45996.0,Charged Off,debt_consolidation,21.73,0.0,2011,12
3500,36,10.65,B,B2,7 years,MORTGAGE,Not Verified,55000.0,Fully Paid,debt_consolidation,5.39,0.0,2011,12
12500,60,17.27,D,D3,5 years,RENT,Source Verified,30000.0,Charged Off,debt_consolidation,13.16,1.0,2011,12
16425,36,14.27,C,C2,4 years,RENT,Source Verified,44544.0,Fully Paid,debt_consolidation,22.71,0.0,2011,12
8200,60,21.28,F,F2,4 years,RENT,Source Verified,75000.0,Charged Off,small_business,12.48,0.0,2011,12
15000,36,14.65,C,C3,2 years,OWN,Verified,61000.0,Fully Paid,credit_card,11.88,0.0,2011,12
20975,60,17.58,D,D4,5 years,MORTGAGE,Verified,44000.0,Fully Paid,credit_card,18.79,1.0,2011,12
6400,36,16.77,D,D2,5 years,RENT,Not Verified,75000.0,Charged Off,debt_consolidation,20.22,0.0,2011,12
3000,36,13.49,C,C1,1 year,RENT,Not Verified,33600.0,Fully Paid,debt_consolidation,18.11,0.0,2011,12
12000,36,16.77,D,D2,3 years,RENT,Not Verified,50000.0,Fully Paid,credit_card,20.57,0.0,2011,12
14400,36,8.9,A,A5,< 1 year,OWN,Source Verified,150000.0,Fully Paid,debt_consolidation,14.85,0.0,2011,12
12000,36,14.65,C,C3,10+ years,RENT,Not Verified,90000.0,Fully Paid,debt_consolidation,16.56,0.0,2011,12
11000,36,13.49,C,C1,10+ years,MORTGAGE,Verified,48000.0,Fully Paid,debt_consolidation,21.82,0.0,2011,12
7250,60,21.67,F,F3,< 1 year,RENT,Verified,75000.0,Fully Paid,debt_consolidation,24.82,1.0,2011,12
15000,36,7.9,A,A4,1 year,MORTGAGE,Not Verified,52000.0,Fully Paid,small_business,9.65,0.0,2011,12
18000,60,19.91,E,E4,10+ years,MORTGAGE,Not Verified,65000.0,Fully Paid,debt_consolidation,6.81,0.0,2011,12
35000,60,17.27,D,D3,3 years,MORTGAGE,Verified,150000.0,Fully Paid,home_improvement,7.51,0.0,2011,12
10000,36,14.27,C,C2,2 years,RENT,Source Verified,68000.0,Fully Paid,credit_card,15.39,0.0,2011,12
11800,36,12.69,B,B5,6 years,RENT,Source Verified,42000.0,Fully Paid,credit_card,9.86,0.0,2011,12
4500,36,6.03,A,A1,4 years,RENT,Source Verified,53000.0,Fully Paid,major_purchase,4.44,0.0,2011,12
7000,36,12.69,B,B5,10+ years,RENT,Source Verified,35000.0,Fully Paid,credit_card,11.35,0.0,2011,12
9200,36,12.42,B,B4,2 years,RENT,Source Verified,60000.0,Fully Paid,debt_consolidation,19.96,0.0,2011,12
4500,60,10.65,B,B2,< 1 year,MORTGAGE,Source Verified,42000.0,Fully Paid,car,5.4,0.0,2011,12
12000,36,16.29,D,D1,9 years,RENT,Verified,88365.0,Fully Paid,debt_consolidation,16.85,0.0,2011,12
12000,36,13.49,C,C1,4 years,RENT,Source Verified,72000.0,Fully Paid,debt_consolidation,21.33,0.0,2011,12
12000,36,10.65,B,B2,< 1 year,RENT,Verified,62000.0,Fully Paid,credit_card,23.94,0.0,2011,12
7000,36,10.65,B,B2,3 years,MORTGAGE,Not Verified,43680.0,Fully Paid,credit_card,5.38,0.0,2011,12
8200,60,19.42,E,E3,3 years,RENT,Source Verified,120000.0,Fully Paid,debt_consolidation,2.8,0.0,2011,12
10500,36,12.69,B,B5,10+ years,RENT,Verified,66000.0,Fully Paid,medical,20.73,0.0,2011,12
7000,36,11.71,B,B3,4 years,OWN,Not Verified,39120.0,Fully Paid,debt_consolidation,21.01,0.0,2011,12
20000,60,11.71,B,B3,4 years,MORTGAGE,Verified,47800.0,Fully Paid,debt_consolidation,10.04,0.0,2011,12
17500,60,17.27,D,D3,7 years,MORTGAGE,Not Verified,45000.0,Charged Off,credit_card,21.31,0.0,2011,12
3500,36,6.03,A,A1,10+ years,MORTGAGE,Verified,83000.0,Fully Paid,car,2.31,0.0,2011,12
6200,36,9.91,B,B1,2 years,RENT,Not Verified,25000.0,Charged Off,debt_consolidation,20.64,0.0,2011,12
6000,36,8.9,A,A5,8 years,OWN,Not Verified,28800.0,Fully Paid,debt_consolidation,13.17,0.0,2011,12
7200,36,9.91,B,B1,6 years,RENT,Not Verified,135000.0,Fully Paid,credit_card,6.12,0.0,2011,12
9500,36,8.9,A,A5,7 years,MORTGAGE,Not Verified,50000.0,Fully Paid,credit_card,8.18,0.0,2011,12
18825,60,16.77,D,D2,10+ years,RENT,Verified,38000.0,Charged Off,debt_consolidation,23.18,0.0,2011,12
24000,36,10.65,B,B2,10+ years,RENT,Verified,45000.0,Fully Paid,debt_consolidation,14.8,0.0,2011,12
6000,36,13.49,C,C1,10+ years,RENT,Not Verified,80000.0,Fully Paid,debt_consolidation,11.58,0.0,2011,12
6000,36,13.49,C,C1,5 years,RENT,Not Verified,50000.0,Fully Paid,debt_consolidation,15.38,0.0,2011,12
2100,36,12.42,B,B4,10+ years,MORTGAGE,Not Verified,30000.0,Fully Paid,vacation,19.72,0.0,2011,12
5500,36,6.62,A,A2,8 years,MORTGAGE,Verified,110000.0,Fully Paid,small_business,9.69,0.0,2011,12
11000,36,6.62,A,A2,8 years,OWN,Source Verified,45608.0,Fully Paid,debt_consolidation,20.5,0.0,2011,12
26800,60,20.89,F,F1,3 years,MORTGAGE,Verified,120000.0,Fully Paid,debt_consolidation,12.15,0.0,2011,12
8000,36,12.69,B,B5,5 years,MORTGAGE,Not Verified,35000.0,Fully Paid,debt_consolidation,10.05,0.0,2011,12
10000,36,18.25,D,D5,1 year,RENT,Source Verified,75000.0,Charged Off,credit_card,24.14,0.0,2011,12
8000,36,11.71,B,B3,9 years,MORTGAGE,Verified,35000.0,Fully Paid,credit_card,9.7,0.0,2011,12
10000,36,8.9,A,A5,6 years,RENT,Verified,24000.0,Fully Paid,debt_consolidation,7.0,0.0,2011,12
12000,36,11.71,B,B3,2 years,MORTGAGE,Not Verified,126000.0,Fully Paid,debt_consolidation,13.32,0.0,2011,12
10000,36,7.9,A,A4,1 year,RENT,Not Verified,43000.0,Fully Paid,debt_consolidation,25.26,0.0,2011,12
12000,36,9.91,B,B1,1 year,RENT,Not Verified,50000.0,Fully Paid,debt_consolidation,16.44,0.0,2011,12
25000,60,13.49,C,C1,10+ years,MORTGAGE,Verified,67000.0,Charged Off,credit_card,14.15,0.0,2011,12
19750,36,10.65,B,B2,4 years,RENT,Verified,45000.0,Charged Off,debt_consolidation,22.8,0.0,2011,12
10000,36,9.91,B,B1,3 years,RENT,Source Verified,31200.0,Fully Paid,debt_consolidation,14.81,0.0,2011,12
13650,36,12.42,B,B4,4 years,RENT,Verified,66000.0,Fully Paid,debt_consolidation,24.09,0.0,2011,12
28000,60,19.91,E,E4,10+ years,RENT,Verified,52000.0,Charged Off,debt_consolidation,20.7,0.0,2011,12
18000,36,7.9,A,A4,10+ years,RENT,Source Verified,56964.0,Fully Paid,debt_consolidation,27.55,0.0,2011,12
2500,36,14.27,C,C2,7 years,RENT,Source Verified,49500.0,Fully Paid,debt_consolidation,10.33,0.0,2011,12
21000,60,20.3,E,E5,10+ years,RENT,Verified,70000.0,Fully Paid,credit_card,23.21,0.0,2011,12
35000,36,8.9,A,A5,6 years,MORTGAGE,Verified,125000.0,Fully Paid,debt_consolidation,22.71,0.0,2011,12
10000,36,7.51,A,A3,3 years,RENT,Not Verified,33000.0,Fully Paid,credit_card,9.75,0.0,2011,12
7000,36,12.69,B,B5,< 1 year,RENT,Source Verified,30000.0,Fully Paid,credit_card,15.8,0.0,2011,12
24000,36,15.96,C,C5,8 years,MORTGAGE,Source Verified,90000.0,Charged Off,home_improvement,9.17,0.0,2011,12
10625,36,7.51,A,A3,5 years,MORTGAGE,Not Verified,23000.0,Fully Paid,medical,18.89,0.0,2011,12
5000,36,14.65,C,C3,2 years,RENT,Source Verified,24000.0,Fully Paid,debt_consolidation,18.3,0.0,2011,12
8850,36,6.62,A,A2,10+ years,RENT,Source Verified,62000.0,Fully Paid,credit_card,17.71,0.0,2011,12
6375,36,7.51,A,A3,4 years,RENT,Source Verified,44000.0,Fully Paid,debt_consolidation,4.8,0.0,2011,12
6000,36,11.71,B,B3,1 year,RENT,Not Verified,90000.0,Fully Paid,credit_card,2.97,0.0,2011,12
11100,36,6.62,A,A2,10+ years,RENT,Verified,41000.0,Charged Off,credit_card,29.85,0.0,2011,12
10000,60,12.69,B,B5,2 years,MORTGAGE,Source Verified,56000.0,Fully Paid,debt_consolidation,10.82,0.0,2011,12
6200,36,6.03,A,A1,5 years,MORTGAGE,Not Verified,26500.0,Fully Paid,small_business,18.2,0.0,2011,12
15000,36,18.64,E,E1,1 year,RENT,Not Verified,54000.0,Fully Paid,debt_consolidation,19.69,0.0,2011,12
4200,36,11.71,B,B3,2 years,RENT,Not Verified,53000.0,Fully Paid,other,16.91,0.0,2011,12
14000,36,14.27,C,C2,4 years,RENT,Not Verified,52800.0,Fully Paid,debt_consolidation,7.36,0.0,2011,12
8875,36,7.51,A,A3,1 year,MORTGAGE,Not Verified,38000.0,Fully Paid,debt_consolidation,23.53,0.0,2011,12
13500,36,9.91,B,B1,7 years,RENT,Verified,38000.0,Fully Paid,debt_consolidation,12.38,0.0,2011,12
12000,36,9.91,B,B1,2 years,RENT,Not Verified,42000.0,Charged Off,debt_consolidation,7.83,0.0,2011,12
16000,60,19.91,E,E4,4 years,RENT,Verified,55000.0,Fully Paid,debt_consolidation,15.8,0.0,2011,12
21600,60,19.42,E,E3,8 years,MORTGAGE,Source Verified,60000.0,Fully Paid,debt_consolidation,16.74,0.0,2011,12
6000,36,10.65,B,B2,6 years,MORTGAGE,Not Verified,87000.0,Fully Paid,home_improvement,12.86,0.0,2011,12
8450,60,16.77,D,D2,5 years,OWN,Verified,25000.0,Fully Paid,debt_consolidation,22.51,0.0,2011,12
20000,60,13.49,C,C1,1 year,RENT,Not Verified,82000.0,Fully Paid,credit_card,17.68,0.0,2011,12
10000,36,11.71,B,B3,8 years,RENT,Not Verified,60000.0,Charged Off,debt_consolidation,22.08,0.0,2011,12
12000,36,16.29,D,D1,5 years,MORTGAGE,Verified,80000.0,Fully Paid,credit_card,18.18,0.0,2011,12
13475,60,13.49,C,C1,10+ years,RENT,Verified,25000.0,Charged Off,credit_card,21.89,0.0,2011,12
7200,36,12.42,B,B4,5 years,RENT,Not Verified,48000.0,Fully Paid,major_purchase,17.43,0.0,2011,12
5600,36,14.65,C,C3,1 year,MORTGAGE,Not Verified,85000.0,Charged Off,debt_consolidation,12.24,0.0,2011,12
12000,36,14.27,C,C2,< 1 year,RENT,Verified,57000.0,Fully Paid,debt_consolidation,10.86,0.0,2011,12
8500,36,6.03,A,A1,2 years,RENT,Not Verified,25000.0,Fully Paid,credit_card,1.73,0.0,2011,12
8000,36,9.91,B,B1,2 years,RENT,Source Verified,34000.0,Fully Paid,credit_card,18.28,0.0,2011,12
8000,36,12.42,B,B4,10+ years,RENT,Not Verified,40000.0,Fully Paid,credit_card,15.0,0.0,2011,12
16000,60,15.27,C,C4,10+ years,RENT,Source Verified,42656.4,Fully Paid,debt_consolidation,17.44,0.0,2011,12
15000,36,17.27,D,D3,2 years,MORTGAGE,Source Verified,44400.0,Fully Paid,house,3.59,1.0,2011,12
10000,36,9.91,B,B1,2 years,OWN,Not Verified,30000.0,Fully Paid,debt_consolidation,11.24,0.0,2011,12
10000,36,6.62,A,A2,5 years,MORTGAGE,Not Verified,70000.0,Fully Paid,credit_card,16.78,0.0,2011,12
8000,36,14.65,C,C3,3 years,RENT,Not Verified,28000.0,Fully Paid,car,12.6,0.0,2011,12
22000,36,9.91,B,B1,2 years,MORTGAGE,Verified,50000.0,Fully Paid,debt_consolidation,13.22,0.0,2011,12
6000,36,14.27,C,C2,10+ years,MORTGAGE,Verified,94800.0,Fully Paid,car,24.53,0.0,2011,12
16000,60,9.91,B,B1,10+ years,OWN,Verified,40000.0,Fully Paid,debt_consolidation,9.39,0.0,2011,12
13500,36,9.91,B,B1,2 years,MORTGAGE,Source Verified,36000.0,Fully Paid,credit_card,22.93,0.0,2011,12
25000,36,12.42,B,B4,2 years,RENT,Verified,225000.0,Fully Paid,debt_consolidation,8.32,0.0,2011,12
10000,36,13.49,C,C1,2 years,RENT,Verified,45900.0,Fully Paid,small_business,24.97,0.0,2011,12
2500,36,13.49,C,C1,4 years,RENT,Not Verified,27200.0,Fully Paid,debt_consolidation,6.44,0.0,2011,12
7325,36,12.69,B,B5,1 year,RENT,Not Verified,42000.0,Fully Paid,debt_consolidation,22.57,0.0,2011,12
4000,36,12.42,B,B4,5 years,RENT,Verified,135000.0,Fully Paid,credit_card,12.12,0.0,2011,12
10000,36,13.49,C,C1,5 years,RENT,Not Verified,65000.0,Charged Off,small_business,6.92,0.0,2011,12
7750,36,17.27,D,D3,< 1 year,RENT,Not Verified,24000.0,Charged Off,debt_consolidation,16.1,0.0,2011,12
20000,60,20.89,F,F1,6 years,RENT,Source Verified,70000.0,Charged Off,debt_consolidation,16.63,0.0,2011,12
9600,36,12.42,B,B4,10+ years,RENT,Verified,65000.0,Fully Paid,debt_consolidation,11.65,0.0,2011,12
21000,60,11.71,B,B3,3 years,RENT,Not Verified,60000.0,Charged Off,debt_consolidation,6.62,0.0,2011,12
14000,36,10.65,B,B2,3 years,RENT,Source Verified,30000.0,Fully Paid,credit_card,15.52,0.0,2011,12
13350,36,12.42,B,B4,10+ years,RENT,Not Verified,43000.0,Fully Paid,debt_consolidation,20.57,0.0,2011,12
15000,36,16.77,D,D2,10+ years,RENT,Verified,42000.0,Charged Off,debt_consolidation,19.63,0.0,2011,12
15000,36,17.27,D,D3,8 years,RENT,Source Verified,75000.0,Charged Off,debt_consolidation,16.03,0.0,2011,12
35000,36,10.65,B,B2,2 years,MORTGAGE,Verified,168000.0,Fully Paid,debt_consolidation,3.17,0.0,2011,12
9000,36,10.65,B,B2,9 years,MORTGAGE,Source Verified,74000.0,Fully Paid,credit_card,8.89,0.0,2011,12
22475,60,15.27,C,C4,7 years,MORTGAGE,Verified,52000.0,Fully Paid,debt_consolidation,15.23,0.0,2011,12
16000,36,12.69,B,B5,1 year,RENT,Source Verified,58500.0,Charged Off,debt_consolidation,20.64,0.0,2011,12
13500,36,12.69,B,B5,5 years,RENT,Source Verified,71000.0,Fully Paid,debt_consolidation,11.97,0.0,2011,12
24000,36,12.69,B,B5,10+ years,RENT,Verified,75000.0,Fully Paid,debt_consolidation,11.6,0.0,2011,12
12000,36,10.65,B,B2,5 years,RENT,Not Verified,60000.0,Fully Paid,credit_card,10.84,0.0,2011,12
